"Tanggal","temp_avg","hum_avg","wind_avg","rainfall","sunshine"
"01-10-2013","25.9","81","2","0","1.2"
"02-10-2013","26.1","84","2","0","8"
"03-10-2013","26.7","79","2","6.2","7.1"
"04-10-2013","26.2","75","2","2.2","8"
"05-10-2013","25.4","84","2","0","8"
"06-10-2013","27","77","2","43.4","8"
"07-10-2013","26.1","80","3","48.1","5.9"
"08-10-2013","25","83","2","0","5.9"
"09-10-2013","26.4","78","2","0.4","3"
"10-10-2013","26.8","71","2","5.2","7.4"
"11-10-2013","26.9","74","2","0","7.2"
"12-10-2013","27","76","2","0","6.7"
"13-10-2013","26.5","78","2","0","5.7"
"14-10-2013","26.2","81","2","8888","7.7"
"15-10-2013","27.4","72","2","14.2","7.4"
"16-10-2013","27.2","72","2","0","6.8"
"17-10-2013","27.4","74","1","0","6.7"
"18-10-2013","25.2","88","3","0","7.8"
"19-10-2013","25.6","81","1","12.5","7.5"
"20-10-2013","26.1","84","2","0","6.7"
"21-10-2013","25.7","83","2","4","6.6"
"22-10-2013","25.4","88","2","20.3","6.2"
"23-10-2013","25.2","86","2","36.7","8"
"24-10-2013","26.2","82","2","60.2","8"
"25-10-2013","26.7","79","2","0.3","7.7"
"26-10-2013","26.3","79","2","0","8"
"27-10-2013","25.2","88","2","34.5","7.6"
"28-10-2013","24.6","92","3","48.5","8"
"29-10-2013","25.2","84","2","56.9","8"
"30-10-2013","25.7","80","3","0","7.2"
"31-10-2013","26.5","79","2","0","7.6"
"01-11-2013","26.4","81","2","1.5","5.9"
"02-11-2013","26.6","77","2","5.2","8"
"03-11-2013","26.9","79","1","0","6.7"
"04-11-2013","26.6","80","2","1.2","3.3"
"05-11-2013","26.4","82","2","0.2","3.8"
"06-11-2013","26.2","82","2","8888","6.5"
"07-11-2013","26.2","84","2","4.7","4.6"
"08-11-2013","25.7","88","2","12.3","3.7"
"09-11-2013","27","78","1","1.3","3.6"
"10-11-2013","26","82","2","0","4"
"11-11-2013","25.1","89","2","8.3","3.5"
"12-11-2013","25.3","85","1","9.5","5.1"
"13-11-2013","25.3","89","2","35.5","3.2"
"14-11-2013","25.2","86","1","46.1","5.4"
"15-11-2013","25","91","2","20.2","4.1"
"16-11-2013","25.1","92","1","19.2","2.8"
"17-11-2013","24.4","92","0","3.3","1.6"
"18-11-2013","26.2","78","0","15.3","7"
"19-11-2013","26.2","72","2","0","7.7"
"20-11-2013","25.9","71","1","0","6.9"
"21-11-2013","26.6","75","2","8888","5.2"
"22-11-2013","27","70","0","0","7.9"
"23-11-2013","27.4","67","0","0","8"
"24-11-2013","27.3","79","0","0","5.7"
"25-11-2013","27.1","76","1","0","1.7"
"26-11-2013","24.3","86","0","1.1","0"
"27-11-2013","26.3","80","0","0.7","3.4"
"28-11-2013","27.7","76","0","1.3","6.5"
